parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
r1_k1f	k1f	log10	1000	1650	0.0027	1
r1_k1b	k1b	log10	0.00000001	1.00E-06	0.0045	1
r2_k2f	k2f	log10	0.5	1e5	0.17	1
r2_k2b	k2b	log10	0.0000000001	1.00E-05	0.0113	1
r3_k3f	k3f	log10	0.01	0.1	0.0018	1
r3_k3b	k3b	log10	0.001	1000	0.94	1
r4_V4	V4	log10	0.1	2	0.0733	1
r4_K4	K4	log10	0.001	0.1	0.00377	1
r5_k5f	k5f	log10	1900	2000	68.7	1
r5_k5b	k5b	log10	9990	20000	10000	1
r6_k6f	k6f	log10	9990	20000	8180	1
r6_k6b	k6b	log10	7500	10000	1000	1
r7_k7f	k7f	log10	150	200	895	1
r7_k7b	k7b	log10	199900	200000	100000	1
r8_V8	V8	log10	0.00000001	1.00E-04	0.00000343	1
r8_K8	K8	log10	1	3	2940	1
r9_k9f	k9f	log10	0.001	1	3.95	1
r9_k9b	k9b	log10	9	20	0.001	1
r10_k10f	k10f	log10	1	15	135	1
r10_k10b	k10b	log10	0.0001	1.00E-01	0.000028	1
r11_k11f	k11f	log10	1	2	100000	1
r11_k11b	k11b	log10	0.0000001	1.00E-05	0.00000000516	1
r12_k12f	k12f	log10	1E-12	1.00E-10	1E-10	1
r13_k13f	k13f	log10	0.8	2	0.961	1
r13_k13b	k13b	log10	1200	1500	11700	1
r14_k14f	k14f	log10	1000	1200	1000	1
r14_k14b	k14b	log10	1.80E+03	2.20E+03	12300	1
r15_k15f	k15f	log10	190	250	160	1
r15_k15b	k15b	log10	0.00001	1.00E-03	0.0000001	1
r16_V16	V16	log10	0.9	2	8.94	1
r16_K16	K16	log10	0.0001	1.00E-02	3.33	1
r17_k17f	k17f	log10	1	1.5	4.82	1
r17_k17b	k17b	log10	0.0001	1.00E-03	0.000001	1
r18_k18f	k18f	log10	1.00E-04	1.00E-03	0.00526	1
r18_k18b	k18b	log10	0.00001	1.00E-04	0.0000001	1
r19_k19f	k19f	log10	1	3	1.14	1
r19_k19b	k19b	log10	0.001	0.01	4.52	1
r20_k20f	k20f	log10	0.001	0.01	0.001	1
r20_k20b	k20b	log10	0.0000001	1.00E-05	0.0000001	1
r21_k21f	k21f	log10	150	200	0.0000000021	1
r22_k22f	k22f	log10	0.000000001	1.00E-07	0.00000000375	1
r23_k23f	k23f	log10	0.0000001	1.00E-05	0.000000137	1
r24_k24f	k24f	log10	0.0001	0.01	155	1
r25_k25f	k25f	log10	350	450	166	1
r25_k25b	k25b	log10	0.001	0.1	0.0115	1
