observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters	observableTransformation	observablesetId	
observable_EGFRPtotal		C1	0	0			lin	C1_observable_EGFRPtotal	0
observable_EGFRPtotal		C1	1.73	15			lin	C1_observable_EGFRPtotal	0.0173
observable_EGFRPtotal		C1	2.9	30			lin	C1_observable_EGFRPtotal	0.029
observable_EGFRPtotal		C1	3.43	45			lin	C1_observable_EGFRPtotal	0.0343
observable_EGFRPtotal		C1	3.69	60			lin	C1_observable_EGFRPtotal	0.0369
observable_EGFRPtotal		C1	3.89	120			lin	C1_observable_EGFRPtotal	0.0389
observable_EGFRPtotal		C2	0	0			lin	C2_observable_EGFRPtotal	0
observable_EGFRPtotal		C2	38.9	15			lin	C2_observable_EGFRPtotal	0.389
observable_EGFRPtotal		C2	45.2	30			lin	C2_observable_EGFRPtotal	0.452
observable_EGFRPtotal		C2	40.8	45			lin	C2_observable_EGFRPtotal	0.408
observable_EGFRPtotal		C2	29.9	60			lin	C2_observable_EGFRPtotal	0.299
observable_EGFRPtotal		C2	15.7	120			lin	C2_observable_EGFRPtotal	0.157
observable_EGFRPtotal		C3	0	0			lin	C3_observable_EGFRPtotal	0
observable_EGFRPtotal		C3	76.5	15			lin	C3_observable_EGFRPtotal	0.765
observable_EGFRPtotal		C3	56.4	30			lin	C3_observable_EGFRPtotal	0.564
observable_EGFRPtotal		C3	30.7	45			lin	C3_observable_EGFRPtotal	0.307
observable_EGFRPtotal		C3	27.6	60			lin	C3_observable_EGFRPtotal	0.276
observable_EGFRPtotal		C3	28.6	120			lin	C3_observable_EGFRPtotal	0.286
observable_PLCgPtotal		C2	0	0			lin	C2_observable_PLCgPtotal	0
observable_PLCgPtotal		C2	6.1	15			lin	C2_observable_PLCgPtotal	0.061
observable_PLCgPtotal		C2	8.49	30			lin	C2_observable_PLCgPtotal	0.0849
observable_PLCgPtotal		C2	9.6	45			lin	C2_observable_PLCgPtotal	0.096
observable_PLCgPtotal		C2	8.51	60			lin	C2_observable_PLCgPtotal	0.0851
observable_PLCgPtotal		C2	3.31	120			lin	C2_observable_PLCgPtotal	0.0331
observable_PLCgPtotal		C3	0	0			lin	C3_observable_PLCgPtotal	0
observable_PLCgPtotal		C3	13.9	15			lin	C3_observable_PLCgPtotal	0.139
observable_PLCgPtotal		C3	13.9	30			lin	C3_observable_PLCgPtotal	0.139
observable_PLCgPtotal		C3	6.12	45			lin	C3_observable_PLCgPtotal	0.0612
observable_PLCgPtotal		C3	3.64	60			lin	C3_observable_PLCgPtotal	0.0364
observable_PLCgPtotal		C3	3.45	120			lin	C3_observable_PLCgPtotal	0.0345
observable_ShPtotal		C3	0	0			lin	C3_observable_ShPtotal	0
observable_ShPtotal		C3	91.1	15			lin	C3_observable_ShPtotal	0.911
observable_ShPtotal		C3	142	30			lin	C3_observable_ShPtotal	1.42
observable_ShPtotal		C3	149	45			lin	C3_observable_ShPtotal	1.49
observable_ShPtotal		C3	149	60			lin	C3_observable_ShPtotal	1.49
observable_ShPtotal		C3	149	120			lin	C3_observable_ShPtotal	1.49
observable_Grb2Shctotal		C3	0	0			lin	C3_observable_Grb2Shctotal	0
observable_Grb2Shctotal		C3	46.4	15			lin	C3_observable_Grb2Shctotal	0.464
observable_Grb2Shctotal		C3	64.4	30			lin	C3_observable_Grb2Shctotal	0.644
observable_Grb2Shctotal		C3	65.6	45			lin	C3_observable_Grb2Shctotal	0.656
observable_Grb2Shctotal		C3	64.9	60			lin	C3_observable_Grb2Shctotal	0.649
observable_Grb2Shctotal		C3	64.2	120			lin	C3_observable_Grb2Shctotal	0.642
observable_Grb2EGFRtotal		C3	0	0			lin	C3_observable_Grb2EGFRtotal	0
observable_Grb2EGFRtotal		C3	9.01	15			lin	C3_observable_Grb2EGFRtotal	0.0901
observable_Grb2EGFRtotal		C3	5.28	30			lin	C3_observable_Grb2EGFRtotal	0.0528
observable_Grb2EGFRtotal		C3	4.84	45			lin	C3_observable_Grb2EGFRtotal	0.0484
observable_Grb2EGFRtotal		C3	5.65	60			lin	C3_observable_Grb2EGFRtotal	0.0565
observable_Grb2EGFRtotal		C3	6.45	120			lin	C3_observable_Grb2EGFRtotal	0.0645
